publisher,app_name,discount_price,price,early_access,id,developer,metascore,year,genre1,genre2,genre3,genre4,genre5
Indie1Up,Daydream,3.74,4.99,True,765240,Rohit Joshi,,2017,Action,Casual,Indie,Strategy,Early Access
4SKY Game Studio,Dark Snow,8.99,9.99,False,656710,4SKY Game Studio,,2017,Action,Adventure,Casual,Indie,
Shoho Games,Reading Simulator,0.59,0.99,False,769690,Shoho Games,,2017,Indie,Simulation,,,
Hell Tap Entertainment LTD,Free Yourself - A Gravity Puzzle Game Starring YOU!,3.59,3.99,False,768820,Fire Tap Games,,2017,Casual,Indie,,,
LuteGames,Hex-Up,1.79,2.99,False,765610,LuteGames,,2017,Casual,Indie,,,
Valera Entertainment,Once in Yaissor 2,1.69,1.99,False,767500,Valera Entertainment,,2017,Adventure,Indie,,,
Ruaz.404,The Darkness,3.59,3.99,False,765390,Ruaz.404,,2017,Action,Adventure,Indie,,
Dexion Games,Gravity puzzles,0.59,0.99,False,771140,Dexion Games,,2017,Casual,Indie,Strategy,,
Rock Path Collective,MORE SWEATER? OK!,1.59,1.99,False,746050,Triple-Star Studio,,2017,Action,Casual,Indie,RPG,Simulation
夕,Magic Tower,0.69,0.99,True,727460,夕,,2017,Indie,RPG,Strategy,Early Access,
Ynep,Scary House,4.24,4.99,False,768430,Ynep,,2017,Adventure,Casual,Indie,,
Ben Lovegrove,Last Hope,1.69,1.99,False,765620,Ben Lovegrove,,2017,Casual,Indie,,,
Fire Engrave,BLACKSTONE,3.49,4.99,False,735250,Fire Engrave,,2017,RPG,,,,
LoveTrooper Entertainment L.L.C.,Kitten Madness,6.29,6.99,True,748110,David Ogden,,2017,Action,Adventure,Indie,Early Access,
SyKoHPaTh,Super Bugman Extreme Ultra,7.49,9.99,True,756380,SyKoHPaTh,,2018,Action,Adventure,Indie,Early Access,
Corradi Games,Close the Window!,0.89,0.99,False,773170,Corradi Games,,2017,Casual,,,,
Bytecrunch,Platform Golf,0.84,0.99,False,775690,Patrick Hofmann,,2018,Action,Casual,Indie,Sports,
Independent,Witchball,4.24,4.99,False,768580,Stephen Lawrence Clark,,2018,Action,Indie,Racing,Sports,
DreamInCode B.V.,Mesozoica,25.49,29.99,True,719590,"DreamInCode B.V.,Squadron Interactive",,2018,Action,Adventure,Casual,Indie,Simulation
Sai Attack,Prison Bomber,3.19,3.99,False,772450,Sai Attack,,2018,Action,Indie,,,
Lunarhellgames,Boomer Rampage,0.89,0.99,False,770520,Lunarhellgames,,2018,Action,Casual,Indie,,
Purpl3Grape,TileDynasty FPS Arena,4.68,6.99,True,524350,Purpl3Grape,,2018,Action,Indie,Early Access,,
Enkian Games,Ender Story: Chapter 1,0.69,0.99,False,760300,Enkian Games,,2018,Adventure,Indie,RPG,,
Chadams Studios,BlockShip Wars: Roguelike,11.69,12.99,True,763320,Chadams Studios,,2018,Action,Indie,RPG,Simulation,Early Access
BJGameInd,NeoBalls,0.89,0.99,False,771610,BJGameInd,,2018,Indie,,,,
Phil Fortier,Snail Trek - Chapter 3: Lettuce Be,0.84,0.99,False,761480,Phil Fortier,,2018,Adventure,Indie,,,
INGAME,Bravium,11.99,14.99,False,747320,INGAME,,2018,Indie,RPG,,,
Bidoniera Games,Kebab it Up!,1.69,1.99,False,745400,Bidoniera Games,,2018,Action,Adventure,Casual,Indie,
Ghost_RUS Games,Colony On Mars,1.49,1.99,False,773640,"Nikita ""Ghost_RUS""",,2018,Casual,Indie,Simulation,Strategy,
Sacada,LOGistICAL: South Africa,4.24,4.99,False,733530,Sacada,,2018,Casual,Indie,Strategy,,
Laush Studio,Russian Roads,1.39,1.99,False,610660,Laush Dmitriy Sergeevich,,2018,Indie,Racing,Simulation,,
