publisher,genres,app_name,tags,discount_price,specs,price,early_access,id,developer,metascore,year
EQ Games,"['Action', 'Adventure', 'Indie']",Sun Blast: Star Fighter,"['Action', ""Shoot 'Em Up"", 'Indie', 'Anime', 'Adventure', 'Arcade', 'Sci-fi', 'Space', 'Shooter', 'Difficult', 'Third Person', 'Singleplayer', 'Gore', 'Family Friendly', 'Atmospheric', 'Puzzle', 'Horror', 'Turn-Based', 'Fantasy', 'Classic']",0.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",1.99,False,344910.0,OBLONE Software,,2015
IPBuilders,"['Adventure', 'Indie']",DRAGON: A Game About a Dragon,"['Indie', 'Anime', 'Adventure', 'Dragons', 'Platformer', ""Shoot 'Em Up"", '2D', 'Comedy', 'Fantasy', 'Hand-drawn', 'Casual', 'Great Soundtrack', 'Arcade', 'Pixel Graphics', 'Singleplayer', 'Difficult', 'Family Friendly', 'Retro', 'Sci-fi', 'Funny']",0.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",4.99,False,351150.0,Games With Dragons In,,2015
EQ Games,"['Adventure', 'Indie', 'Strategy']",Tiny Bridge: Ratventure,"['Indie', 'Puzzle', 'Strategy', 'Adventure', 'Casual', '2D', 'Building', 'Singleplayer', 'Physics', 'Family Friendly', 'Anime', 'Touch-Friendly', 'Comedy', 'Simulation', ""Shoot 'Em Up"", 'Difficult', 'Funny', 'Sandbox', 'Shooter', 'Exploration']",0.49,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,360380.0,Estelion,,2015
Mystik'Art,"['Adventure', 'Indie', 'Strategy']",Rolling Sun,"['Indie', 'Adventure', 'Platformer', 'Casual', 'Singleplayer', 'Strategy', 'Puzzle', 'Anime', ""Shoot 'Em Up"", 'Arcade', 'Difficult', 'Family Friendly']",0.49,"['Single-player', 'Full controller support', 'Steam Trading Cards', 'Commentary available']",4.99,False,371670.0,Mystik'Art,,2015
DYA Games,['Indie'],Super Star Path Soundtrack,"['Indie', 'Music', 'Arcade', 'Retro', ""Shoot 'Em Up""]",0.89,"['Single-player', 'Downloadable Content']",0.99,False,378910.0,DYA Games,,2015
Hi-Rez Studios,"['Action', 'Free to Play']",SMITE® - Ultimate God Pack,"['Action', 'Free to Play', 'MOBA', 'Third Person', 'Multiplayer']",14.99,"['Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']",29.99,False,387440.0,Hi-Rez Studios,,2015
Light Vision Interactive,"['Free to Play', 'Massively Multiplayer', 'Strategy']",Steam Pack,"['Massively Multiplayer', 'Strategy', 'Free to Play']",6.29,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content']",29.99,False,407800.0,Light Vision Interactive,,2015
Light Vision Interactive,"['Free to Play', 'Massively Multiplayer', 'Strategy']",Universal Pack,"['Strategy', 'Massively Multiplayer', 'Free to Play']",3.14,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content']",14.99,False,410450.0,Light Vision Interactive,,2015
Team Indev,"['Action', 'Adventure', 'Indie']",Squirbs,"['Indie', 'Adventure', 'Action', 'Anime', 'Platformer', '2D', 'Difficult', 'Puzzle', 'Singleplayer', ""Shoot 'Em Up"", 'Retro', 'Fantasy', 'Arcade', 'Exploration', 'First-Person', 'Puzzle-Platformer']",0.49,"['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",4.99,False,429700.0,Team Indev,,2016
ANPA.US,"['Action', 'Adventure', 'Indie', 'Simulation']",Dinosaur Hunt - Medieval Knights Hunter Expansion Pack,"['Action', 'Adventure', 'Indie', 'Simulation']",0.49,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",0.99,False,434940.0,ANPA.US,,2016
Fish Factory Media,"['Action', 'Indie']",Defy Gravity - Soundtrack,"['Action', 'Indie']",0.49,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",0.99,False,451030.0,Paul Fisch,,2016
Chandler Rounsley,"['Action', 'Adventure', 'Indie', 'RPG']",Sins Of The Demon RPG,"['RPG', 'Anime', 'RPGMaker', 'Adventure', 'Nudity', 'Indie', 'Action', 'Sexual Content', 'Pixel Graphics', 'Singleplayer', '2D', 'Survival', 'Great Soundtrack', 'Open World', 'Sci-fi', 'Story Rich', 'Exploration', 'Shooter', 'Platformer', 'Zombies']",0.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",1.99,False,461640.0,Chandler Rounsley,,2016
"NIS America, Inc.",['RPG'],Phantom Brave PC / ファントム・ブレイブ PC,"['RPG', 'JRPG', 'Strategy RPG', 'Anime', 'Pixel Graphics', 'Tactical RPG', 'Turn-Based', 'Singleplayer', 'Female Protagonist', 'Turn-Based Tactics', 'Great Soundtrack']",7.49,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",14.99,False,409870.0,"Nippon Ichi Software, Inc.",,2016
Hi-Rez Studios,"['Action', 'Free to Play']",Paladins® - Founder's Pack,"['Action', 'Free to Play', 'Multiplayer', 'MOBA', 'FPS', 'Shooter', 'Violent', 'First-Person', 'Team-Based']",13.39,"['Multi-player', 'Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']",19.99,False,444120.0,Hi-Rez Studios,,2016
Aatlantis Code,"['Indie', 'Simulation', 'Strategy', 'Early Access']",SugarMill,"['Early Access', 'Strategy', 'Simulation', 'Indie', 'City Builder']",10.49,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,True,538990.0,Aatlantis Code,,2016
Shiro Games,"['Indie', 'Simulation', 'Strategy', 'Early Access']",Northgard,"['Early Access', 'Strategy', 'City Builder', 'RTS', 'Resource Management', 'Multiplayer', 'Real-Time', 'Indie', 'Simulation', 'Medieval', '4X', 'Survival', 'Singleplayer', 'Management', 'Co-op', 'Mythology', 'Action', 'War', 'Atmospheric', 'Adventure']",14.99,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",19.99,True,466560.0,Shiro Games,,2017
Awesome Games Studio,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",Badass Hero,"['Early Access', 'Indie', 'Action', 'Rogue-like', 'RPG', 'Platformer', '2D', 'Comic Book', 'Shooter', 'Side Scroller', 'Rogue-lite', 'Perma Death', ""Shoot 'Em Up"", 'Adventure', 'Difficult', 'Replay Value', 'Procedural Generation', 'Fast-Paced', 'Arcade', 'Singleplayer']",7.99,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",9.99,True,465200.0,Awesome Games Studio,,2017
Red Dahlia,"['Action', 'Adventure', 'Indie', 'RPG']",Zoop! - Hunter's Grimm,"['Anime', 'Adventure', 'RPG', 'Indie', 'Action', 'RPGMaker', 'Nudity']",0.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",1.99,False,577460.0,Warfare Studios,,2017
Winking Entertainment,"['Massively Multiplayer', 'RPG']",XAOC 月圓奏鼓祭 Luna Fiesta - Original Soundtrack -,"['RPG', 'Massively Multiplayer']",3.59,"['Single-player', 'Online Multi-Player', 'MMO', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases']",3.99,False,702330.0,WindThunder Studio,,2017
Winking Entertainment,"['Massively Multiplayer', 'RPG']",The Art of XAOC,"['RPG', 'Massively Multiplayer']",2.69,"['Single-player', 'Online Multi-Player', 'MMO', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases']",2.99,False,704160.0,WindThunder Studio,,2017
THQ Nordic,"['Indie', 'RPG']",Battle Chasers: Nightwar Digital Extras,"['RPG', 'Indie']",4.68,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",6.99,False,712630.0,Airship Syndicate,,2017
GexagonVR,"['Adventure', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports', 'Early Access']",Qbike: Crypto Motorcycles,"['Early Access', 'Casual', 'Adventure', 'Indie', 'Simulation', 'Racing', 'Sports']",4.19,"['Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",5.99,True,713610.0,GexagonVR,,2017
Fourfold Games,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",Xenomarine,"['Early Access', 'Indie', 'Adventure', 'RPG', 'Strategy', 'Rogue-like']",8.99,"['Single-player', 'Steam Achievements']",9.99,True,676830.0,Fourfold Games,,2017
alexeibelih,"['Casual', 'Indie']",Zombie Pop,"['Indie', 'Casual']",0.62,"['Single-player', 'Steam Achievements']",0.99,False,739350.0,alexeibelih,,2017
Albatross Wirehead,"['Action', 'Indie', 'RPG']",Death Rings of Jupiter,"['Action', 'Indie', 'RPG']",2.99,"['Single-player', 'Steam Achievements']",5.99,False,691620.0,Albatross Wirehead,,2017
2K,"['Action', 'Strategy']",Hidden & Dangerous: Action Pack,"['Strategy', 'Action', 'Violent']",4.19,['Single-player'],5.99,False,703310.0,Illusion Softworks,74.0,2000
Crystal Shard,"['Adventure', 'Indie']",A Tale of Two Soundtracks,"['Adventure', 'Indie']",2.39,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Commentary available']",2.99,False,649020.0,Crystal Shard,,2017
Square Enix,['RPG'],Romancing SaGa 2,"['RPG', 'JRPG', 'Pixel Graphics', 'Retro']",19.99,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",24.99,False,606370.0,"Square Enix,ArtePiazza",,2017
Evil Tortilla Games,"['Action', 'Casual', 'Indie', 'Early Access']",Cookies vs. Claus,"['Early Access', 'Indie', 'Casual', 'Action']",3.49,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Partial Controller Support']",4.99,True,752910.0,"Joshua Williams,Evil Tortilla Games Incorporated",,2017
Labyrinthine,"['Adventure', 'Indie', 'RPG', 'Strategy']",Labyronia Elements,"['Indie', 'Adventure', 'RPG', 'Strategy', 'RPGMaker', 'Action', 'Open World', 'Atmospheric', 'Difficult', 'Great Soundtrack', 'JRPG', 'Turn-Based']",2.44,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available']",6.99,False,750770.0,Labyrinthine,,2017
Muzaku,"['Casual', 'Indie']",Battle Runner,"['Indie', 'Casual', 'Runner', 'Platformer', 'Pixel Graphics', '2D', 'Side Scroller']",0.69,['Single-player'],0.99,False,749040.0,Muzaku,,2017
Xefier Games Inc.,"['Casual', 'Indie', 'Strategy']",Space Panic Defense,"['Casual', 'Strategy', 'Indie', 'Tower Defense']",3.74,"['Single-player', 'In-App Purchases']",4.99,False,746540.0,Xefier Games Inc.,,2017
Easy game_13,"['Action', 'Casual', 'Indie']",Reflex,"['Action', 'Indie', 'Casual']",0.79,"['Single-player', 'Steam Trading Cards']",1.99,False,745740.0,Easy game,,2017
LeshaWhite Studio,"['Action', 'Adventure', 'Casual', 'Indie']",My Loved Heart,"['Indie', 'Action', 'Casual', 'Adventure']",0.62,"['Single-player', 'Steam Achievements']",0.99,False,727560.0,"LeshaWhite Studio,LeshaWhite Studio",,2017
LinQ,"['Casual', 'Indie', 'Simulation', 'Strategy']",MinSweeper,"['Simulation', 'Casual', 'Indie', 'Strategy', 'Atmospheric', 'Singleplayer', 'Cute', 'Relaxing', 'Minimalist', 'Puzzle', 'Dark', 'Arcade']",1.79,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']",2.99,False,726030.0,LinQ,,2017
EHTechnology,"['Adventure', 'Casual', 'Indie']",Bio Soup,"['Indie', 'Adventure', 'Casual']",0.62,['Single-player'],0.99,False,662330.0,EHTechnology,,2017
Tower Studios,"['Action', 'Indie', 'Sports', 'Early Access']",Sociable Soccer,"['Early Access', 'Sports', 'Action', 'Soccer', 'Indie', 'Football', 'Arcade', 'Multiplayer']",14.99,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Partial Controller Support']",19.99,True,636690.0,Combo Breaker,,2017
Bloodline Games,"['Action', 'Indie']",Maybot Run,"['Action', 'Indie', 'Political', 'Politics', 'Villain Protagonist', 'Runner', 'Platformer', '2D', 'Funny', 'Dark Comedy', 'Dark Humor', 'Great Soundtrack', 'Comedy', 'Side Scroller', 'Music', 'Retro', 'Soundtrack']",1.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",2.99,False,715990.0,Bloodline Games,,2017
csgood,"['Action', 'Indie']",Boom Island,"['Indie', 'Action', 'Shooter', 'FPS', 'Arcade', 'Alternate History', 'Singleplayer', 'Survival', 'Flight', 'Great Soundtrack', 'World War I']",0.89,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Includes level editor']",2.99,False,717820.0,Caden Goodwin,,2017
Jungle Coworking,"['Casual', 'Indie', 'Strategy']",Bacon Tales - Between Pigs and Wolves,"['Casual', 'Strategy', 'Indie']",0.59,"['Single-player', 'Steam Trading Cards']",3.99,False,508200.0,Uruca Game Studio,,2017
Ionized Games,"['Adventure', 'Indie']",CAT Interstellar,"['Adventure', 'Indie', 'Sci-fi', 'Exploration', 'Walking Simulator', 'Space', 'Singleplayer', 'Open World', 'Science', 'First-Person', 'Simulation', 'Story Rich', 'Third Person', 'Atmospheric', 'Puzzle', 'Action', 'Education', 'Psychological', 'Aliens', 'Surreal']",3.99,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",4.99,False,384740.0,Ionized Games,,2017
Gamepainters,"['Action', 'Indie', 'Simulation', 'Sports', 'Early Access']",Full-On Paintball,"['Early Access', 'Action', 'Indie', 'Simulation', 'Sports']",10.04,"['Single-player', 'Multi-player', 'Online Multi-Player']",14.99,True,678450.0,Gamepainters,,2017
Alien Mind,['Action'],Triton Wing,"['Action', 'Top-Down Shooter']",6.74,['Single-player'],8.99,False,691700.0,Alien Mind,,2017
Bithell Games,"['Adventure', 'Casual', 'Indie']",Subsurface Circular,"['Indie', 'Adventure', 'Casual', 'Text-Based', 'Robots', 'Story Rich', 'Sci-fi', 'Visual Novel', 'Detective']",4.79,"['Single-player', 'Steam Achievements', 'Steam Cloud']",5.99,False,676820.0,Bithell Games,83.0,2017
橙光游戏,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",Mysteries of Fence,"['Casual', 'Indie', 'Adventure', 'Simulation', 'Strategy', 'RPG', 'Anime']",2.19,"['Single-player', 'Steam Achievements']",3.99,False,644550.0,橙光游戏,,2017
Hi-Rez Studios,"['Action', 'Free to Play']",Paladins® - Realm Pack,"['Free to Play', 'Action']",3.34,"['Multi-player', 'Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']",4.99,False,664770.0,Hi-Rez Studios,,2017
DYA Games,"['Action', 'Adventure', 'Indie']",Strikey Sisters,"['Action', 'Adventure', 'Indie', 'Pixel Graphics', 'Female Protagonist', 'Arcade', 'Local Co-Op', '2D', 'Anime', 'Cute', 'Singleplayer', 'Great Soundtrack', 'Colorful', 'Magic', 'Controller', 'Fast-Paced', 'Comedy', 'Action-Adventure', 'Funny', 'Local Multiplayer']",0.89,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Steam Leaderboards']",0.99,False,643880.0,DYA Games,,2017
ANPA.US,"['Action', 'Indie']",Machine Hunt,"['Action', 'Indie', 'Shooter', 'FPS']",0.5,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",2.99,False,546930.0,Racing Bros,,2017
FIVE-BN GAMES,"['Adventure', 'Casual']",Lost Lands: The Wanderer,"['Adventure', 'Casual', 'Hidden Object']",5.24,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",6.99,False,626640.0,FIVE-BN GAMES,,2017
uegamestudio,"['Action', 'Adventure', 'Indie', 'Early Access']",I may die!,"['Early Access', 'Action', 'Adventure', 'Indie', 'Multiplayer']",2.51,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",3.99,True,560080.0,uegamestudio,,2017
QuickSave,"['Adventure', 'Indie']",Dream Stone,"['Adventure', 'Indie']",1.49,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",2.99,False,603090.0,QuickSave,,2017
Indie,"['Adventure', 'Indie', 'RPG', 'Strategy']",Hawks Tactical,"['Adventure', 'RPG', 'Indie', 'Strategy', 'RPGMaker']",1.19,['Single-player'],3.99,False,571550.0,LYS,,2017
BulatHard,"['Casual', 'Indie', 'Simulation', 'Sports']",Score a goal (Physical football),"['Sports', 'Indie', 'Casual', 'Simulation']",0.49,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",1.99,False,574030.0,BulatHard,,2016
Winking Entertainment,"['Adventure', 'Indie', 'RPG']",Heroine Anthem Zero - Original Soundtrack,"['Adventure', 'RPG', 'Indie', 'Side Scroller', '2D', 'Action RPG']",4.49,"['Single-player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']",4.99,False,571670.0,WindThunder Studio,,2016
Coffee Addict Studio,"['Action', 'Adventure', 'Indie', 'RPG']",Blade & Bones,"['Indie', 'Action', 'Adventure', 'RPG', 'Open World', 'Story Rich', 'Cartoony']",2.19,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available']",10.99,False,513370.0,Coffee Addict Studio,,2016
Rixment,"['Action', 'Adventure', 'Simulation']",Rocket Craze 3D,"['Simulation', 'Action', 'Adventure', 'Space', 'Shooter', 'Space Sim']",1.99,"['Single-player', 'Steam Achievements', 'Full controller support']",3.99,False,550930.0,Rixment,,2016
NukGames,"['Casual', 'Indie', 'Racing']",Razortron 2000,"['Racing', 'Casual', 'Indie', '1980s', 'Retro', 'Great Soundtrack']",0.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",0.99,False,539720.0,NukGames,,2016
FIVE-BN GAMES,"['Adventure', 'Casual']",New York Mysteries: The Lantern of Souls,"['Casual', 'Adventure', 'Hidden Object', 'Female Protagonist']",3.14,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",6.99,False,511140.0,FIVE-BN GAMES,,2016
Dima Kiva,['Strategy'],Archipelago,"['Strategy', 'Pirates']",0.66,['Single-player'],0.99,False,513720.0,Dima Kiva,,2016
"NIS America, Inc.",['RPG'],Phantom Brave PC / ファントム・ブレイブ PC - Digital Art Book / デジタル・アートブック,['RPG'],1.99,"['Single-player', 'Downloadable Content']",3.99,False,475010.0,"Nippon Ichi Software, Inc.",,2016
Red Dahlia,"['Action', 'Adventure', 'Indie', 'RPG']",Storm Of Spears RPG,"['Anime', 'Mature', 'Sexual Content', 'RPGMaker', 'RPG', 'Nudity', 'Adventure', 'Indie', 'Female Protagonist', 'Action', 'Pixel Graphics', 'JRPG', '2D', 'Singleplayer', 'Retro', 'Great Soundtrack', 'Arcade', 'Horror', 'Exploration', ""Shoot 'Em Up""]",0.49,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",1.99,False,463350.0,Warfare Studios,,2016
Semen Rodin,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation']",BATTLE PIXEL'S SURVIVAL GROUND,"['Massively Multiplayer', 'Adventure', 'Casual', 'Simulation', 'Action', 'Indie', 'Survival', 'Psychological Horror']",0.49,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Cross-Platform Multiplayer']",0.99,False,474790.0,Semen Rodin,,2016
ANPA.US,"['Action', 'Adventure', 'Indie', 'Simulation']",Dinosaur Hunt - WW2 War Expansion Pack,"['Action', 'Adventure', 'Indie', 'Simulation']",0.49,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",1.99,False,434944.0,ANPA.US,,2016
Advent RPG,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",Mars 2030,"['Strategy', 'RPG', 'Simulation', 'Adventure', 'Indie', 'Casual', 'Action', 'Mars', 'Pixel Graphics', '2D', 'Retro', 'Perma Death', 'Comedy', 'Sci-fi', 'Space Sim', 'Rogue-like', 'Difficult', 'Text-Based']",1.99,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",4.99,False,416070.0,Advent RPG,,2016
MiniBoss,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']",Out There Somewhere - Soundtrack,"['Strategy', 'Action', 'Adventure', 'Indie', 'Simulation']",0.49,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",0.99,False,450960.0,MiniBoss,,2016
Startreming,"['Indie', 'Sports', 'Strategy']",LocoSoccer,"['Sports', 'Indie', 'Strategy', 'Anime', ""Shoot 'Em Up"", '2D', 'Great Soundtrack', 'Pixel Graphics', 'Casual', 'Funny', 'Turn-Based', 'Retro', 'Singleplayer', 'Family Friendly', 'Classic', 'Third Person', 'Survival', 'FPS', 'Puzzle', 'Horror']",0.49,"['Single-player', 'Co-op', 'Steam Trading Cards', 'Partial Controller Support']",0.99,False,396360.0,Startreming,,2015
Light Vision Interactive,"['Free to Play', 'Massively Multiplayer', 'Strategy']",Ammunition Pack,"['Strategy', 'Massively Multiplayer', 'Free to Play']",2.09,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content']",9.99,False,410460.0,Light Vision Interactive,,2015
The Game Creators,"['Action', 'Adventure']",GameGuru Mega Pack 3,"['Action', 'Adventure', 'Design & Illustration', 'Utilities', 'Animation & Modeling', 'Education', 'Software Training', 'GameMaker', 'FPS', 'Game Development']",9.99,"['Single-player', 'Multi-player', 'Downloadable Content']",24.99,False,321142.0,The Game Creators,,2015
Playboom,"['Casual', 'Indie', 'Strategy']",Battle Ranch: Pigs vs Plants,"['Indie', 'Casual', 'Strategy', 'Tower Defense', 'Anime', ""Shoot 'Em Up"", '2D', 'Comedy', 'Singleplayer', 'Family Friendly', 'Funny', 'Third Person', 'Shooter', 'Great Soundtrack', 'Horror', 'Story Rich', 'Platformer', 'Arcade', 'Zombies', 'Survival']",0.49,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",1.99,False,340070.0,Playboom,,2015
Infinite Monkeys Entertainment Ltd.,"['Action', 'Adventure', 'Casual', 'Indie']",Life Goes On: Done to Death,"['Indie', 'Casual', 'Puzzle', 'Platformer', 'Funny', 'Singleplayer', 'Puzzle-Platformer', 'Dark Humor', 'Adventure', 'Comedy', 'Action', '2.5D', 'Fantasy', 'Side Scroller', '2D', 'Physics', 'Controller', 'Family Friendly', 'Great Soundtrack', 'Atmospheric']",3.24,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",12.99,False,250050.0,Infinite Monkeys Entertainment Ltd.,,2014
Awesome Games Studio,"['Action', 'Casual', 'Indie', 'Strategy']",Yet Another Zombie Defense,"['Zombies', 'Survival', 'Multiplayer', 'Co-op', 'Action', 'Indie', 'Tower Defense', 'Strategy', 'Shooter', 'Online Co-Op', 'Casual', 'Horror', 'Top-Down', 'Singleplayer', 'Isometric', 'Arcade', 'Difficult', 'Local Co-Op', 'Funny', 'Walking Simulator']",0.49,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards']",1.99,False,270550.0,Awesome Games Studio,,2014
Lev Gogol,"['Casual', 'Indie']",Dolphins-cyborgs and open space,"['Indie', 'Casual']",0.59,['Single-player'],0.99,False,767170.0,Lev Gogol,,2017
